text_clean,sentimiento_real,pred_SVM,pred_Gemini
le doy gracias a diosito por haberme alejado de esa familia,NEGATIVO,NEGATIVO,POSITIVO
por favor que infumable es emanuel nir de ke personajes con las historias de ig modo despechado siempre bastaaaa,NEGATIVO,NEUTRO,NEGATIVO
dia pensando la historiaafroperuana el de enero de en la batalla de la palma castilla salió victorioso la abolición de la esclavitud de se dió en medio de la guerra castilla vs echenique cuántos afro se sumaron al ejército de castilla tras la abolición,POSITIVO,NEGATIVO,NEUTRO
si nunca te dijieron que el auto esta re atrevido no tenes auto,POSITIVO,NEGATIVO,POSITIVO
ay manes que me hacen sentir inseguro y otros que me hacen asombran con su apariencia y otros que me provocan cosa y otros que meh,NEGATIVO,NEGATIVO,NEUTRO
desconcertado de la realidad que vivo y mi subconsciente,NEGATIVO,NEGATIVO,NEGATIVO
la gorda de ami dejó pausado el rave,NEUTRO,NEUTRO,NEUTRO
lo peor q hizo esta novelita de mierda es haber abandonado la trama de la banda para centrarse en los mismos cliches de siempre tenían algo buenísimo y lo cagaron buenoschicos,NEGATIVO,NEGATIVO,NEGATIVO
de qué murió se asfixió con el celo envolviendo regalos,POSITIVO,NEGATIVO,NEGATIVO
escuchar a maría isabel urrutia tan campante y jovial sobre algo tan importante me genera estrés y ansiedad,POSITIVO,POSITIVO,NEGATIVO
melchor grax por su compra baltazar sí lo molesto con su ticket,NEGATIVO,NEGATIVO,POSITIVO
de que sirve ser autoconsciente de tu persona si te da miedo explotarlo,NEGATIVO,NEGATIVO,NEGATIVO
el conicet tendria q haber inundado el pais con repelentes,NEGATIVO,NEGATIVO,NEGATIVO
quiero reportar a por si pésimo servicio en cuanto al arreglo mecánico de mi vehículo hace exactamente años que saque una captiva y en noviembre me falló de la transmisión de cada unidades captiva salen con ese detalle no me han resuelto,NEUTRO,POSITIVO,NEGATIVO
es a través de la gratitud que la vida se vuelve abundante,NEUTRO,NEGATIVO,POSITIVO
el optimista está bien con lo que hay al pesimista le parece una mierda lo que hay porq confía en que mucho mas,POSITIVO,POSITIVO,NEUTRO
que tenga que venir el puto villarejo a contaros las cuatro verdades que el resto del año no os da la gana de escuchar es algo que me tiene irascible perdido,NEGATIVO,NEGATIVO,NEGATIVO
no he llorado x la muerte de mi padre nunca he decidido posponerlo y x lo q veoindefinidamente sencillamente no puedo por eso no se juzgan los duelos de las personas,POSITIVO,NEGATIVO,NEGATIVO
yo pensaba que estaba enfadado conmigo,NEGATIVO,POSITIVO,NEGATIVO
el etf de bitcoin sera aprobado o rechazado por la sec btc bitcoin bitcoinetfs,NEGATIVO,NEGATIVO,NEUTRO
team leon pq era más lindo q tomas además tenía facha d maloy era re atento y tomas parecía de esos q se hacían los buenitos y los tiernos y en realidad quieren romperte el corazón en mil pedazos y diego era un rockero con mal gusto,NEUTRO,NEGATIVO,NEGATIVO
mi idea es que a los becarios se les pague y coticen a lo loco soy capaz de jugar a juegos de mesa en el suelo tengo ideas super locas,NEUTRO,NEUTRO,POSITIVO
mañana terminare el zeldano al la verdadel juego me encantóhace mucho que no disfrutaba de un juego en solitariome gustaría tenerlo al pero nopronto empiezan mis clases además que son muchas cosas que no pienso hacerahora me siento vacíopensando y escuchando toda,NEGATIVO,NEGATIVO,NEGATIVO
hay que reactivar las cooperativas de seguridad y convivencia ciudadana convivir para hacerle frente a la delincuencia y terrorismo resguardado por,NEUTRO,POSITIVO,POSITIVO
cansado con una semana súper pesada de casi trabajo de horas o más diarias por inventario anual de tienda pero bendecido con salud para mí y la familia no puedo quejarme gracias diosito,NEUTRO,NEGATIVO,POSITIVO
me acabo de dar cuenta que alguien a quien aprecio mucho me dejó de seguir en todos lados y me bloqueó de whatsapp,NEUTRO,NEGATIVO,NEGATIVO
muy tímido el viernes,NEGATIVO,NEGATIVO,NEUTRO
estamos todos na torcida para o bin laden,POSITIVO,POSITIVO,NEGATIVO
el placer de relacionarte con una persona que tiene una mentalidad flexible y abierta nada peor que interactuar con alguien que no puede ver más allá de su propia realidad,NEUTRO,POSITIVO,POSITIVO
y yo confiado que era por ahi,POSITIVO,NEUTRO,NEGATIVO
con algunas personas perdemos el tiempo con otras perdemos la nocion del tiempo y con otras recuperamos el tiempo perdido bambakabiri,NEGATIVO,NEGATIVO,POSITIVO
la cantidad de códigos que he roto este año ha valido la pena es muy pronto para responder eso espero,NEUTRO,NEGATIVO,POSITIVO
sereno ent,NEUTRO,POSITIVO,POSITIVO
mi amor estoy llorando estas lagrimas son de dolor,NEUTRO,NEUTRO,NEGATIVO
hombre inseguro no da para tener una mujer que todos miren,NEGATIVO,NEGATIVO,NEGATIVO
día de dios es un bromista y aunque parezca chiste me lo suele confirmar seguido y lo bueno es que yo amo la comedia,POSITIVO,POSITIVO,POSITIVO
como quisiera estar en caripe sin preocupaciones solo viendo guacharos,NEUTRO,POSITIVO,POSITIVO
necesitamos que la luz de cristo derribe totalmente los muros de nuestra incredulidad,POSITIVO,NEGATIVO,POSITIVO
un lindo y sosegado pajarito se posaría en la ventana de una gigantesca casa sp observa al pajarito y se acercaría con cuidado para no asustarlo que linda ave espero y me visite más a menudo night que bonito c lo come sp compas,NEGATIVO,NEGATIVO,NEGATIVO
esconde tres buenos deseos entre la ciudad silba despreocupado de regreso a casa,POSITIVO,NEGATIVO,POSITIVO
mañana terminare el zeldano al la verdadel juego me encantóhace mucho que no disfrutaba de un juego en solitariome gustaría tenerlo al pero nopronto empiezan mis clases además que son muchas cosas que no pienso hacerahora me siento vacíopensando y escuchando toda,NEGATIVO,NEGATIVO,NEGATIVO
estado irritado de tanto wey en mi jale,NEGATIVO,POSITIVO,NEGATIVO
medio blda esa idea de ofe de que tengan miedo de nuestro dnu si mañana gana grabois y quiere hacer algo así de audaz pero para el otro lado dura h en el gobierno esto se sostiene porque está armado por las grandes corporaciones,POSITIVO,NEGATIVO,NEGATIVO
aprecio demasiado cuando se saben mis gustos y me sorprenden cuando me dicen cosas que no me había dado cuenta en mí eso vale oro,NEUTRO,POSITIVO,POSITIVO
el problema es q las fuerzas armadas no quieren meterse en la seguridad ni compartir funciones con la policia nacional,POSITIVO,POSITIVO,NEGATIVO
paso de tristeza a euforia dsp a felicidad dsp d tristeza a amor y ternura y dsp a tristeza y siempre a tristeza,NEUTRO,NEUTRO,NEGATIVO
soy un ser amoroso y compasivo,NEUTRO,NEUTRO,POSITIVO
ya le dije q me escriba cuando qiera si no lo quiere hacer yo no le voy a andar rogando ando sobrecargado de cosas que lo único que puedo hacer es responder de a ratos,NEGATIVO,NEGATIVO,NEGATIVO
recién pude entrar y ya esta todo agotado,NEGATIVO,NEGATIVO,NEGATIVO
es muy desorientador que hoy básicamente sea jueves,NEGATIVO,NEGATIVO,NEGATIVO
después de casi una hora grabando un vídeo se me ha fastidiado la tarjeta y he perdido todo otro día que esté más fresco lo repito por hoy mejor descansar,NEGATIVO,NEGATIVO,NEGATIVO
si vas a ver a dios prosperarte en medio de la dificultad tienes que mantenerte productivo sigue usando tus dones sigue esforzándote sigue siendo bueno con la gente no dejes tus sueños en espera,POSITIVO,NEGATIVO,POSITIVO
en la gratitud hallarás la llave para abrir las puertas de bendiciones en tu vida,NEUTRO,NEUTRO,POSITIVO
pues ando contrariado,NEGATIVO,NEGATIVO,NEGATIVO
de manera apacible se puede sacudir el mundo mg,NEUTRO,NEUTRO,POSITIVO
ponete celoso de cualquiera pero no de ese culiado justo ese nunca maaaasssss,NEGATIVO,NEGATIVO,NEGATIVO
